N,T,avg_min_d,std_min_d,min_min_d,max_min_d,max_d
90,1000,1.9905558475873888,0.010765668967520644,1.9447018867670713,2.0010890592454413,10.176004508057767
3,1000,2.000515093431972,0.0008438311042211001,1.9999184147360014,2.001708450823914,2.0033253512348006
100,1000,1.990841888750441,0.0083417548561264,1.9677403354238943,2.0050307876949267,10.793511195186541
180,1000,1.9882203634894273,0.0157572244871768,1.929730592254005,2.0033765377100017,13.079739564695965
70,1000,1.9923318290001508,0.010063495003607302,1.959585148871896,2.0002686162156595,9.723612885072304
40,1000,1.9956082988647303,0.003234337327183416,1.9901795241238875,2.0055052341582313,8.116421154003644
7,1000,1.730469032056769,0.07965638851885276,1.6154036414133222,1.8260474469515926,2.826074519257143
120,1000,1.9894052213810849,0.011228722022593557,1.929697747143618,2.0006653653766198,11.583027154068212
2,1000,2.001845904259309,0.0,2.001845904259309,2.001845904259309,2.001845904259309
50,1000,1.9942142149675828,0.007264477828661909,1.977336688891096,2.0005602030681198,8.608999646881143
6,1000,1.8665735791438511,0.0008284677884479699,1.8657785613518798,1.8679245434706462,2.6452015197334777
9,1000,1.8126553814571578,0.053097316013576284,1.7814531648052965,1.9135906068239594,3.0869866084285618
10,1000,1.7965708753451402,0.061685811190915686,1.7287333093826507,1.92276692973794,3.6146549108378156
80,1000,1.9886484156382014,0.012955101583564962,1.9474421312184582,2.0005939832987027,9.588077901628695
4,1000,1.9998711948651753,0.00021551933854452266,1.999655755373935,2.000094930247062,2.001282731150199
140,1000,1.9888516781255174,0.012563601546009821,1.940108642069419,2.002901391813611,12.390192384889296
20,1000,1.9866288890493198,0.008913767686121909,1.9723617503381543,1.997251514079739,5.919325690898693
30,1000,1.9907133863792779,0.00910690642673027,1.9693895063641411,1.9986392059500044,7.805496709908641
60,1000,1.988989691976794,0.01006054655237148,1.9570161601081957,1.999399734673463,9.54704888416234
5,1000,1.8296648282106034,0.0007650288290276839,1.8290735496420183,1.8311425198766222,2.6641715954683
160,1000,1.990054586750355,0.010091245783221158,1.9555058669507528,2.0071037000712453,12.493966409717952
8,1000,1.7580859846097443,0.05757851785956351,1.6990104914331714,1.8175442993225883,2.915877315663464
200,1000,1.9877654682694332,0.012222074272185062,1.9358634736373834,2.0045936514028195,13.75341667766483
